full_sample_id,timepoint,date,species,month,site,file.name,series,histo company,scale,units,sex,StageI,StageII,StageIII,StageIV,StageV,Total gametes,Notes,
AST-1043-TP7,TP7,8/25/21,Astrangia poculata,August,ENDV,A-AST-1043-TP7.vsi,14,PP,3.6525,microns,NA,0,0,0,0,0,0,,0
AST-2290-TP7,TP7,8/25/21,Astrangia poculata,August,ENDV,Image_AST_2290_2.vsi,20,NOVA,3.6525,microns,NA,0,0,0,0,0,0,,0
AST-1247-TP7,TP7,8/25/21,Astrangia poculata,August,ENDV,Image_AST_1247_2.vsi,20,NOVA,3.6525,microns,NA,0,0,0,0,0,0,,0
_FLD-10-TP2_,TP2,4/11/21,Astrangia poculata,April,,Image_FLD_10_TP2.vsi,20,NOVA,7.3049,microns,NA,0,0,0,0,0,0,Slide from Pacific pathology may have some gametes,0
_FLD-4-TP2_,TP2,4/11/21,Astrangia poculata,April,,FLD-4-TP2.vsi,14,PP,3.6547,microns,female,16,15,19,0,0,50,,50
_FLD-1-TP2_,TP2,4/11/21,Astrangia poculata,April,,FLD-1-TP2.vsi,56,PP,3.6548,microns,male,50,0,0,0,0,50,,50
_FLD-5-TP2_,TP2,4/11/21,Astrangia poculata,April,,FLD-5-TP2.vsi,14,PP,3.6547,microns,female,3,19,28,0,0,50,,50
_FLD-6-TP2_,TP2,4/11/21,Astrangia poculata,April,,FLD-6-TP2.vsi,14,PP,3.6547,microns,female,8,12,30,0,0,50,,50
_FLD-2-TP2_,TP2,4/11/21,Astrangia poculata,April,,FLD-2-TP2.vsi,14,PP,3.6547,microns,female,NA,0,0,0,0,0,,0
_FLD-11-TP2_,TP2,4/11/21,Astrangia poculata,April,,FLD-11-TP2.vsi,14,PP,3.6525,microns,male,7,6,0,0,0,13,,13
_FLD-3-TP2_,TP2,4/11/21,Astrangia poculata,April,,FLD-3-TP2.vsi,14,PP,3.6547,microns,male,18,23,2,0,0,43,,43
_FLD-7-TP2_,TP2,4/11/21,Astrangia poculata,April,,FLD-7-TP2.vsi,14,PP,3.6547,microns,NA,0,0,0,0,0,0,,0
_FLD-8-TP2_,TP2,4/11/21,Astrangia poculata,April,,FLD-8-TP2.vsi,14,PP,3.6547,microns,female,7,33,10,0,0,50,,50
_FLD-9-TP2_,TP2,4/11/21,Astrangia poculata,April,,Image_FLD_9_TP2.vsi,14,NOVA,7.3049,microns,female,0,20,6,0,0,26,,26
_FLD-7-TP3_,TP3,4/29/21,Astrangia poculata,April,,FLD-7-TP3.vsi,14,PP,3.6547,microns,male,7,8,0,0,0,15,,15
_FLD-11-TP3_,TP3,4/29/21,Astrangia poculata,April,,FLD-11-TP3.vsi,14,PP,3.6547,microns,female,0,14,36,0,0,50,,50
