full_sample_id,date,species,site,file.name,series,histo company,scale,units,sex,stage,length,width,total gametes,Notes
AP-1-3,7/20/22,Astrangia poculata,Field,AP-1-3-720.vsi,14,PP,3.6526,microns,female,2,44.543,27.1117,28,
AP-1-3,7/20/22,Astrangia poculata,Field,AP-1-3-720.vsi,14,PP,3.6526,microns,female,2,57.899,39.766,28,
AP-1-3,7/20/22,Astrangia poculata,Field,AP-1-3-720.vsi,14,PP,3.6526,microns,female,2,47.844,27.353,28,
AP-1-3,7/20/22,Astrangia poculata,Field,AP-1-3-720.vsi,14,PP,3.6526,microns,female,3,74.721,52.083,28,
AP-1-3,7/20/22,Astrangia poculata,Field,AP-1-3-720.vsi,14,PP,3.6526,microns,female,3,79.575,51.771,28,
AP-1-3,7/20/22,Astrangia poculata,Field,AP-1-3-720.vsi,14,PP,3.6526,microns,female,3,74.938,37.243,28,
AP-5-1,7/20/22,Astrangia poculata,Field,AP-5-1-720.vsi,14,PP,3.6526,microns,female,3,50.21,39.305,50,
AP-5-1,7/20/22,Astrangia poculata,Field,AP-5-1-720.vsi,14,PP,3.6526,microns,female,3,75.796,53.077,50,
AP-5-1,7/20/22,Astrangia poculata,Field,AP-5-1-720.vsi,14,PP,3.6526,microns,female,3,82.418,50.611,50,
AP-5-1,7/20/22,Astrangia poculata,Field,AP-5-1-720.vsi,14,PP,3.6526,microns,female,4,132.736,71.439,50,
AP-5-1,7/20/22,Astrangia poculata,Field,AP-5-1-720.vsi,14,PP,3.6526,microns,female,4,118.789,66.575,50,
AP-5-1,7/20/22,Astrangia poculata,Field,AP-5-1-720.vsi,14,PP,3.6526,microns,female,4,132.767,60.161,50,
AP-5-1,7/20/22,Astrangia poculata,Field,AP-5-1-720.vsi,14,PP,3.6526,microns,female,5,120.459,58.09,50,
AP-5-2,7/20/22,Astrangia poculata,Field,AP-5-2-720.vsi,14,PP,3.6526,microns,female,3,58.085,31.759,50,
AP-5-2,7/20/22,Astrangia poculata,Field,AP-5-2-720.vsi,14,PP,3.6526,microns,female,3,80.56,45.971,50,
AP-5-2,7/20/22,Astrangia poculata,Field,AP-5-2-720.vsi,14,PP,3.6526,microns,female,3,58.359,33.15,50,
AP-5-2,7/20/22,Astrangia poculata,Field,AP-5-2-720.vsi,14,PP,3.6526,microns,female,4,96.704,71.747,50,
AP-5-2,7/20/22,Astrangia poculata,Field,AP-5-2-720.vsi,14,PP,3.6526,microns,female,4,100.967,68.477,50,
