full_sample_id,timepoint.x,date.x,species,month,site.x,sex,StageI,StageII,StageIII,StageIV,StageV,total_gametes,site.y,tank,treatment,timepoint.y,date.y
_FLD-9-TP3_,TP3,4/29/21,Astrangia poculata,April,NA,female,23,21,6,0,0,50,FW,NA,Field,TP3,4/29/21
_FLD-9-TP7_,TP7,9/2/21,Astrangia poculata,September,NA,female,0,0,0,7,3,10,FW,NA,Field,TP7,9/2/21
_FLD-TP5_,TP5,6/26/21,Astrangia poculata,June,NA,NA,0,0,0,0,0,0,FW,NA,Field,TP5,6/26/21
AST-1042,TP2,4/2/21,Astrangia poculata,April,NA,NA,0,0,0,0,0,0,ENDV,4,Heat,TP2,4/2/21
AST-1043,TP7,8/25/21,Astrangia poculata,August,ENDV,NA,0,0,0,0,0,0,FW,4,Heat,TP7,8/25/21
AST-1053,TP2,4/2/21,Astrangia poculata,April,FW,female,14,36,0,0,0,50,ENDV,11,Heat,TP2,4/2/21
AST-1069,TP0,2/25/21,Astrangia poculata,Feburary,NA,NA,0,0,0,0,0,0,ENDV,12,Ambient,TP0,2/25/21
AST-1071,TP4,5/28/21,Astrangia poculata,May,FW,female,0,0,3,0,0,4,FW,12,Ambient,TP4,5/28/21
AST-1085,TP2,4/2/21,Astrangia poculata,April,FW,female,50,0,0,0,0,0,ENDV,1,Ambient,TP2,4/2/21
AST-1110,TP4,5/28/21,Astrangia poculata,May,FW,NA,0,0,0,0,0,0,FW,15,Heat,TP4,5/28/21
AST-1122,TP4,5/28/21,Astrangia poculata,May,NA,male,15,20,15,0,0,50,ENDV,16,Ambient,TP4,5/28/21
AST-1135,TP4,5/28/21,Astrangia poculata,May,FW,female,6,6,34,4,0,50,ENDV,4,Heat,TP4,5/28/21
AST-1170,TP6,7/23/21,Astrangia poculata,Juy,FW,NA,0,0,0,0,0,0,FW,5,Ambient,TP6,7/23/21
AST-1187,TP6,7/23/21,Astrangia poculata,July,FW,female,0,0,1,0,0,1,FW,4,Heat,TP6,7/23/21
AST-1191,TP6,7/23/21,Astrangia poculata,Juy,FW,NA,0,0,0,0,0,0,FW,10,Ambient,TP6,7/23/21
AST-1197,TP2,4/2/21,Astrangia poculata,April,NA,male,50,0,0,0,0,50,FW,15,Heat,TP2,4/2/21
AST-1204,TP7,8/25/21,Astrangia poculata,August,ENDV,NA,0,0,0,0,0,0,FW,11,Heat,TP7,8/25/21
AST-1205,TP4,5/28/21,Astrangia poculata,May,FW,female,8,0,0,0,0,8,FW,8,Ambient,TP4,5/28/21
AST-1225,TP2,4/2/21,Astrangia poculata,April,FW,male,50,0,0,0,0,50,ENDV,10,Ambient,TP2,4/2/21
AST-1237,TP0,NA,Astrangia poculata,Feburary,NA,NA,NA,NA,NA,NA,NA,NA,FW,8,Ambient,TP0,2/25/21
AST-1238,TP4,5/28/21,Astrangia poculata,May,FW,male,0,11,39,0,0,50,FW,2,Ambient,TP4,5/28/21
AST-1242,TP7,8/25/21,Astrangia poculata,August,ENDV,NA,0,0,0,0,0,0,ENDV,12,Ambient,TP7,8/25/21
AST-1247,TP7,8/25/21,Astrangia poculata,August,ENDV,NA,0,0,0,0,0,0,FW,18,Ambient,TP7,8/25/21
AST-1311,TP2,4/2/21,Astrangia poculata,April,FW,female,17,21,0,0,0,38,FW,18,Ambient,TP2,4/2/21
AST-1430,TP4,5/28/21,Astrangia poculata,May,NA,female,0,10,19,21,0,50,ENDV,11,Heat,TP4,5/28/21
AST-1440,TP4,5/28/21,Astrangia poculata,May,FW,NA,0,0,0,0,0,0,FW,6,Heat,TP4,5/28/21
AST-1448,TP2,4/2/21,Astrangia poculata,April,FW,female,16,34,0,0,0,50,ENDV,5,Ambient,TP2,4/2/21
AST-1461,TP2,4/2/21,Astrangia poculata,April,FW,male,17,0,0,0,0,17,ENDV,6,Heat,TP2,4/2/21
AST-1466,TP6,7/23/21,Astrangia poculata,July,FW,NA,0,0,0,0,0,0,FW,16,Ambient,TP6,7/23/21
AST-1470,TP4,5/28/21,Astrangia poculata,May,NA,male,0,0,13,8,7,28,FW,17,Heat,TP4,5/28/21
AST-1479,TP0,2/25/21,Astrangia poculata,Feburary,FW,female,46,4,0,0,0,50,FW,1,Ambient,TP0,2/25/21
AST-1483,TP4,5/28/21,Astrangia poculata,May,NA,male,0,14,36,0,0,50,FW,3,Heat,TP4,5/28/21
AST-1533,TP2,4/2/21,Astrangia poculata,April,NA,male,9,41,0,0,0,50,ENDV,9,Heat,TP2,4/2/21
AST-1541,TP6,7/23/21,Astrangia poculata,July,FW,NA,0,0,0,0,0,0,FW,11,Heat,TP6,7/23/21
AST-1554,TP4,5/28/21,Astrangia poculata,May,FW,NA,0,0,0,0,0,0,FW,9,Heat,TP4,5/28/21
AST-1557,TP4,5/28/21,Astrangia poculata,May,FW,male,0,6,0,0,0,6,ENDV,10,Ambient,TP4,5/28/21
AST-1576,TP2,4/2/21,Astrangia poculata,April,FW,NA,0,0,0,0,0,0,FW,17,Heat,TP2,4/2/21
AST-1621,TP4,5/28/21,Astrangia poculata,May,NA,female,0,2,31,2,0,35,FW,1,Ambient,TP4,5/28/21
AST-1636,TP6,7/23/21,Astrangia poculata,July,FW,female,0,0,0,50,NA,50,FW,2,Ambient,TP6,7/23/21
AST-2004,TP0,2/25/21,Astrangia poculata,Feburary,NA,NA,0,0,0,0,0,0,FW,2,Ambient,TP0,2/25/21
AST-2024,TP0,2/25/21,Astrangia poculata,Feburary,NA,female,20,25,5,0,0,50,ENDV,10,Ambient,TP0,2/25/21
AST-2075,TP4,5/28/21,Astrangia poculata,May,FW,NA,0,0,0,0,0,0,FW,18,Ambient,TP4,5/28/21
AST-2202,TP2,4/2/21,Astrangia poculata,April,FW,male,6,0,0,0,0,6,FW,3,Heat,TP2,4/2/21
AST-2279,TP7,8/25/21,Astrangia poculata,August,NA,NA,0,0,0,0,0,0,ENDV,1,Ambient,TP7,8/25/21
AST-2305,TP0,2/25/21,Astrangia poculata,Feburary,NA,female,27,23,0,0,0,50,ENDV,5,Ambient,TP0,2/25/21
AST-2372,TP7,8/25/21,Astrangia poculata,August,ENDV,NA,0,0,0,0,0,0,ENDV,17,Heat,TP7,8/25/21
AST-2384,TP2,4/2/21,Astrangia poculata,April,FW,male,13,4,0,0,0,17,ENDV,7,Heat,TP2,4/2/21
AST-2399,TP2,4/2/21,Astrangia poculata,April,NA,female,16,18,16,0,0,50,ENDV,12,Ambient,TP2,4/2/21
AST-2566,TP6,7/23/21,Astrangia poculata,Juy,FW,NA,0,0,0,0,0,0,FW,6,Heat,TP6,7/23/21
AST-2730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,5,Ambient,TP4,5/28/21
AST-2751,TP0,2/25/21,Astrangia poculata,Feburary,NA,female,15,8,1,0,0,24,ENDV,18,Ambient,TP0,2/25/21
AST-2757,TP2,4/2/21,Astrangia poculata,April,FW,female,7,43,0,0,0,50,FW,16,Ambient,TP2,4/2/21
AST-2868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,16,Ambient,TP0,2/25/21
AST-2976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,7,Heat,TP4,5/28/21
AST-2979,TP2,4/2/21,Astrangia poculata,April,FW,NA,0,0,0,0,0,0,FW,2,Ambient,TP2,4/2/21
